	artist	title	year
67	NEKFEU FEAT. NEMIR	ELLE PLEUT	2019
68	DADJU	JALOUX	2019
69	VEGEDREAM	RAMENEZ LA COUPE À LA MAISON	2019
70	ANGÈLE	TA REINE	2019
71	MEDUZA FEAT. GOODBOYS	PIECE OF YOUR HEART	2019
72	NINHO FEAT. FAOUZIA	MONEY	2019
73	NISKA	DU LUNDI AU LUNDI	2019
74	MARK RONSON FEAT. MILEY CYRUS	NOTHING BREAKS LIKE A HEART	2019
75	LEFA FEAT. VALD	BITCH	2019
76	MARWA LOUD	OH LA FOLLE	2019
77	PLK	UN PEU DE HAINE	2019
78	REDBONE	COME AND GET YOUR LOVE	2019
79	DEAN LEWIS	BE ALRIGHT	2019
80	NISKA FEAT. NINHO	MÉCHANT	2019
81	NEKFEU	CHEUM	2019
82	NINHO FEAT. FALLY IPUPA	À KINSHASA	2019
83	PNL	91'S	2019
84	LETO FEAT. NINHO	TES PARENTS	2019
85	JUL FEAT. NINHO	TEL ME	2019
86	NINHO	SANS PEINE	2019
87	ROMÉO ELVIS	MALADE	2019
88	LANDY FEAT. DADJU	MUERTE	2019
89	NINHO	JEUNE LOSSA	2019
90	DYNORO & GIGI D'AGOSTINO	IN MY MIND	2019
91	AYA NAKAMURA	COPINES	2019
92	47TER	CÔTE OUEST	2019
93	BON ENTENDEUR	LE TEMPS EST BON	2019
94	PNL	HASTA LA VISTA	2019
95	M. POKORA	LES PLANÈTES	2019
96	VITAA FEAT. SLIMANE	JE TE LE DONNE	2019
97	MAES	BILLETS VERTS	2019
98	SOPRANO FEAT. VINCENZO	LE COACH	2019
99	PNL	CHANG	2019
100	IMAGINE DRAGONS	BAD LIAR	2019
101	RK FEAT. SOFIANE	C'EST MON SANG	2019
102	NINHO	PARIS C'EST MAGIQUE	2019
103	ANGÈLE	LA THUNE	2019
104	SAM SMITH	DANCING WITH A STRANGER	2019
105	THE PRINCE KARMA	LATER BITCHES	2019
106	MARTIN GARRIX FEAT. MACKLEMORE & PATRICK STUMP OF FALL OUT B	SUMMER DAYS	2019
107	NAZA	LOIN DE MOI	2019
108	Y2K & BBNO$	LALALA	2019
109	COLUMBINE, LUJIPEKA & FODA C	C'EST PAS GRAVE	2019
110	GAVIN JAMES	ALWAYS	2019
111	PNL	À L'AMMONIAQUE	2019
112	NINHO FEAT. JUL	JUSQU'À MINUIT	2019
113	AYA NAKAMURA FEAT. NISKA	SUCETTE	2019
114	KOBA LAD FEAT. NINHO	QUOTIDIEN	2019
115	LOMEPAL	MÔMES	2019
116	CALVIN HARRIS, SAM SMITH	PROMISES	2019
117	XXXTENTACION	MOONLIGHT	2019
118	RIM'K FEAT. NINHO	AIR MAX	2019
119	JAIN	OH MAN	2019
120	PNL	SHENMUE	2019
121	KAARIS	GUN SALUTE	2019
122	PNL	AUTRE MONDE	2019
123	AYA NAKAMURA	40%	2019
124	DOSSEH FEAT. MAES	L'ODEUR DU CHARBON	2019
125	PNL	ZOULOU TCHAING	2019
126	MARSHMELLO & BASTILLE	HAPPIER	2019
127	DENNIS LLOYD	NEVER GO BACK	2019
128	MAÎTRE GIMS & VIANNEY	LA MÊME	2019
129	MAROON 5 FEAT. CARDI B	GIRLS LIKE YOU	2019
130	KENDJI GIRAC	TIAGO	2019
131	DAMSO	FEU DE BOIS	2019
132	ED SHEERAN FEAT. KHALID	BEAUTIFUL PEOPLE	2019
133	QUEEN	DON'T STOP ME NOW (WITH COMMENTARY)	2019
134	PLK	DINGUE	2019
135	IMAGINE DRAGONS	NATURAL	2019
136	LSD FEAT. SIA, DIPLO & LABRINTH	THUNDERCLOUDS	2019
137	CHILY	SAN PELLEGRINO	2019
138	ARIANA GRANDE	THANK U, NEXT	2019
139	NINHO FEAT. KOBA LAD	LA VIVANCE	2019
140	CALVIN HARRIS & DUA LIPA	ONE KISS	2019
141	A BOOGIE WIT DA HOODIE	LOOK BACK AT IT	2019
142	KEZAH FEAT. FREDDY & SQUEEZIE	MIRADOR	2019
143	JONAS BROTHERS	SUCKER	2019
144	MAÎTRE GIMS & STING	RESTE	2019
145	ANGÈLE	JALOUSIE	2019
146	DADJU	MA VIE	2019
147	POST MALONE & SWAE LEE	SUNFLOWER	2019
148	VITAA & SLIMANE	ÇA VA ÇA VIENT	2019
149	NINHO	TOKAREV	2019
150	BOOBA	PETITE FILLE	2019
151	PNL	MOWGLI II	2019
152	BOULEVARD DES AIRS FEAT. VIANNEY	ALLEZ RESTE	2019
153	NINHO	BIG PAC	2019
154	M. POKORA	TOMBÉ	2019
155	NEKFEU	ALUNISSONS	2019
156	KOBA LAD FEAT. MAES	MATIN	2019
157	NEKFEU	LES ÉTOILES VAGABONDES	2019
158	XXXTENTACION & LIL PUMP FEAT. MALUMA & SWAE LEE	ARMS AROUND YOU	2019
159	PNL	MENACE	2019
160	LOMEPAL	ÉVIDEMMENT	2019
161	LUM!X & GABRY PONTE	MONSTER	2019
162	PNL	KUTA UBUD	2019
163	LOMEPAL	YEUX DISENT	2019
164	REGARD	RIDE IT	2019
165	DTF	ME GUSTA	2019
166	PNL	LA MISÈRE EST SI BELLE	2019
167	NISKA	GIUSEPPE	2019
168	LADY GAGA & BRADLEY COOPER	I'LL NEVER LOVE AGAIN	2019
169	VALD	JOURNAL PERSO II	2019
170	MAÎTRE GIMS	MIAMI VICE	2019
171	ALONZO FEAT. NINHO	C'EST ELLE	2019
172	LOMEPAL FEAT. JEANJASS	X-MEN	2019
173	IMAGINE DRAGONS	BIRDS	2019
174	DERMOT KENNEDY	POWER OVER ME	2019
175	ALONZO	ASSURANCE VIE	2019
176	GEORGE EZRA	SHOTGUN	2019
177	PNL	CELSIUS	2019
178	AVA MAX	SO AM I	2019
179	KPOINT FEAT. NINHO	MA 6T A CRAQUÉ	2019
180	LOMEPAL	PLUS DE LARMES	2019
181	PLK	MONÉGASQUE	2019
182	MAJOR LAZER FEAT. J BALVIN & EL ALFA	QUE CALOR	2019
183	LAUREN DAIGLE	YOU SAY	2019
184	LOMEPAL FEAT. ORELSAN	LA VÉRITÉ	2019
185	PNL	COEURS	2019
186	AYA NAKAMURA	DJADJA	2019
187	NAPS FEAT. HEUSS L'ENFOIRÉ	RAPPELLE-TOI	2019
188	100 BLAZE FEAT. KOBA LAD	BINKS	2019
189	MHD FEAT. DADJU	BÉBÉ	2019
190	BILLIE EILISH	WHEN THE PARTY'S OVER	2019
191	KAZA	HRTBRK #2	2019
192	ED SHEERAN	PERFECT	2019
193	HAMZA FEAT. SCH	HS	2019
194	NEKFEU	VOYAGE LÉGER	2019
195	MAROON 5	MEMORIES	2019
196	ANGÈLE	OUI OU NON	2019
197	HORNET LA FRAPPE FEAT. NINHO	SHEITANA	2019
198	POST MALONE	WOW.	2019
199	AMIR	LONGTEMPS	2019
0	JUL FEAT. SCH, NAPS, KOFS, ELAMS, SOLDA, HOUARI & SOSO MANES	BANDE ORGANISÉE	2020
1	THE WEEKND	BLINDING LIGHTS	2020
2	HATIK	ANGELA	2020
3	TONES AND I	DANCE MONKEY	2020
4	NINHO	LETTRE À UNE FEMME	2020
5	GRADUR FEAT. HEUSS L'ENFOIRÉ	NE REVIENS PAS	2020
6	BOSH	DJOMB	2020
7	SAINT JHN	ROSES	2020
8	MAES FEAT. BOOBA	BLANCHE	2020
9	MAES FEAT. NINHO	DISTANT	2020
10	DADJU FEAT. NINJO	GRAND BAIN	2020
11	MAES FEAT. JUL	DYBALA	2020
12	NAPS FEAT. NINHO	6.3	2020
13	SOOLKING FEAT. DADJU	MELEGIM	2020
14	HEUSS L'ENFOIRÉ FEAT. JUL	MOULAGA	2020
15	MASTER KG FEAT. BURNA BOY & NOMCEBO ZIKODE	JERUSALEMA	2020
16	KAROL G & NICKI MINAJ	TUSA	2020
17	AYA NAKAMURA	JOLIE NANA	2020
18	NEA	SOME SAY	2020
19	4KEUS FEAT. NISKA	MD	2020
20	REGARD	RIDE IT	2020
21	NAZA FEAT. NISKA	JOLI BÉBÉ	2020
22	HATIK FEAT. JOK'AIR	LA MEILLEURE	2020
23	RODDY RICCH	THE BOX	2020
24	WEJDENE	ANISSA	2020
25	NINHO	LA VIE QU'ON MÈNE	2020
26	DABABY FEAT. RODDY RICCH	ROCKSTAR	2020
27	AYA NAKAMURA	40%	2020
28	BLACK EYED PEAS, OZUNA & J. REY SOUL	MAMACITA	2020
29	GAMBI FEAT. HEUSS L'ENFOIRÉ	DANS L'ESPACE	2020
30	BOOBA FEAT. ZED	JAUNÉ	2020
31	NINHO	ZIPETTE	2020
32	FRANGLISH FEAT. TORY LANEZ	MY SALSA	2020
33	GLK FEAT. LANDY, DA UZI & HORNET LA FRAPPE	93% (TIJUANA)	2020
34	VITAA & SLIMANE	AVANT TOI	2020
35	DUA LIPA	DON'T START NOW	2020
36	JUL	SOUSOU	2020
37	BAKERMAT	BAIANÁ	2020
38	JAWSH 685 & JASON DERULO	SAVAGE LOVE (LAXED - SIREN BEAT)	2020
39	DOJA CAT	SAY SO	2020
40	BOLÉMVN & MAES	10K	2020
41	TOPIC FEAT. A7S	BREAKING ME	2020
42	OBOY	CABEZA	2020
43	ANGÈLE	OUI OU NON	2020
44	UZI	À LA FÊTE	2020
45	GAMBI	POPOPOP	2020
46	TREVOR DANIEL	FALLING	2020
47	SURF MESA FEAT. EMILEE	ILY	2020
48	TAYC	N'Y PENSE PLUS	2020
49	IMEN ES FEAT. ALONZO	1ÈRE FOIS	2020
50	NAZA	LOIN DE MOI	2020
51	BILLIE EILISH	BAD GUY	2020
52	GRAND CORPS MALADE & CAMILLE LELLOUCHE	MAIS JE T'AIME	2020
53	PLK & HAMZA	PILOTE	2020
54	POWFU FEAT. BEABADOOBEE	DEATH BED	2020
55	THE BLACK EYED PEAS & J BALVIN	RITMO (BAD BOYS FOR LIFE)	2020
56	47TER	CÔTE OUEST	2020
57	LETO	MACARONI	2020
58	MAES	STREET	2020
59	DRIPREPORT	SKECHERS	2020
60	ARIZONA ZERVAS	ROXANNE	2020
61	MAROON 5	MEMORIES	2020
62	JUL	ITALIA	2020
63	OFENBACH & QUARTERHEAD FEAT. NORMA JEAN MARTINE	HEAD SHOULDERS KNEES & TOES	2020
64	DRAKE	TOOSIE SLIDE	2020
65	DUA LIPA	PHYSICAL	2020
66	24KGOLDN FEAT. IANN DIOR	MOOD	2020
67	MISTER V FEAT. PLK	JAMAIS	2020
68	SHAED	TRAMPOLINE	2020
69	SOSO MANESS	SO MANESS	2020
70	THE WEEKND	IN YOUR EYES	2020
71	NINHO FEAT. DAMSO	PROMO	2020
72	DA UZI FEAT. NINHO	CROIS-MOI	2020
73	HORNET LA FRAPPE	CALUMET	2020
74	LEWIS CAPALDI	SOMEONE YOU LOVED	2020
75	HARRY STYLES	WATERMELON SUGAR	2020
76	MAJOR LAZER FEAT. J BALVIN & EL ALFA	QUE CALOR	2020
77	LIL NAS X	OLD TOWN ROAD	2020
78	AYA NAKAMURA	POOKIE	2020
79	BRAMSITO FEAT. NISKA	CRIMINEL	2020
80	AVA MAX	KINGS & QUEENS	2020
81	SHAWN MENDES & CAMILA CABELLO	SEÑORITA	2020
82	LOMEPAL	TROP BEAU	2020
83	POP SMOKE	DIOR	2020
84	MAC TYER FEAT. NINHO	MOTO	2020
85	DUA LIPA FEAT. ANGÈLE	FEVER	2020
86	NINHO FEAT. NISKA	MAMAN NE LE SAIT PAS	2020
87	NINHO	FILON	2020
88	LEWIS CAPALDI	BEFORE YOU GO	2020
89	WEJDENE	COCO	2020
90	NINHO FEAT. HÖS COPPERFIELD	PIRATE	2020
91	ANGÈLE	BALANCE TON QUOI	2020
92	GAMBI	MACINTOSH	2020
93	TRAVIS SCOTT	HIGHEST IN THE ROOM	2020
94	HAMZA FEAT. DAMSO	GOD BLESS	2020
95	JUL	JCVD	2020
96	NINHO	GOUTTE D'EAU	2020
97	PLK	C'EST MORT	2020
98	LETO FEAT. PLK	TRAIN DE VIE	2020
99	BILLIE EILISH	EVERYTHING I WANTED	2020
100	DADJU	BOBO AU COEUR	2020
101	DJ SNAKE & J. BALVIN FEAT. TYGA	LOCO CONTIGO	2020
102	LADY GAGA & BRADLEY COOPER	SHALLOW	2020
103	HATIK	PRISON POUR MINEURS	2020
104	LARRY FEAT. RK	WOIN WOIN	2020
105	MAES	DRAGOVIC	2020
106	ROBIN SCHULZ FEAT. ALIDA	IN YOUR EYES	2020
107	AYA NAKAMURA	DJADJA	2020
108	NISKA	BÂTIMENT	2020
109	TONES AND I	NEVER SEEN THE RAIN	2020
110	NEKFEU FEAT. VANESSA PARADIS	DANS L'UNIVERS	2020
111	FUTURE FEAT. DRAKE	LIFE IS GOOD	2020
112	SIFAX & SOFIANE	MECS DE CITÉS	2020
113	POP SMOKE FEAT. LIL BABY & DABABY	FOR THE NIGHT	2020
114	GAMBI	HÉ OH	2020
115	PNL	AU DD	2020
116	SCH FEAT. NINHO	MAYDAY	2020
117	VITAA & SLIMANE	ÇA VA ÇA VIENT	2020
118	NINHO	LA PUERTA	2020
119	MEDUZA, BECKY HILL & GOODBOYS	LOSE CONTROL	2020
120	MOHA LA SQUALE	MA BELLE	2020
121	DUA LIPA	BREAK MY HEART	2020
122	TROIS CAFÉS GOURMANDS	À NOS SOUVENIRS	2020
123	JUL	FOLIE	2020
124	NINHO FEAT. GRIFF	EVERY DAY	2020
125	DAMSO FEAT. HAMZA	BXL ZOO	2020
126	ROBIN SCHULZ & WES	ALANE	2020
127	VEGEDREAM FEAT. NINHO	ELLE E2T BONNE SA MÈRE	2020
128	MAÎTRE GIMS & STING	RESTE	2020
129	DADJU FEAT. TIAKOLA	DIEU MERCI	2020
130	MISTER V FEAT. JUL	PIRELLI	2020
131	DADJU	COMPLIQUÉ	2020
132	PLK & NISKA	ON SAIT JAMAIS	2020
133	NINHO	M.I.L.S 3	2020
134	MAES	IMPARFAIT	2020
135	INTERNET MONEY & GUNNA FEAT. DON TOLIVER & NAV	LEMONADE	2020
136	LUCKY LUKE	COOLER THAN ME	2020
137	CAMÉLIA JORDANA	FACILE	2020
138	NINHO	PUTANA	2020
139	DADJU	MA VIE	2020
140	BOOBA	DOLCE VITA	2020
141	SOPRANO	NINJA	2020
142	ZOLA	BRO BRO	2020
143	DAMSO	DEUX TOILES DE MER	2020
144	AVA MAX	SALT	2020
145	KAZA	DANS TES YEUX	2020
146	TIMAL FEAT. MAES	AILLEURS	2020
147	MACKLEMORE & RYAN LEWIS FEAT. RAY DALTON	CAN'T HOLD US	2020
148	NEKFEU FEAT. DAMSO	TRICHEUR	2020
149	ED SHEERAN	SHAPE OF YOU	2020
150	PLK	UN PEU DE HAINE	2020
151	ZOLA	WOW	2020
152	SURFACES	SUNDAY BEST	2020
153	HAMZA FEAT. GAMBI	GASOLINA	2020
154	JORJA SMITH FEAT. BURNA BOY	BE HONEST	2020
155	TOM GREGORY	FINGERTIPS	2020
156	KOBA LAD FEAT. MAES & ZED	COFFRE PLEIN	2020
157	QUEEN	BOHEMIAN RHAPSODY	2020
158	NAPS	CARRÉ VIP	2020
159	NISKA FEAT. BOOBA	MÉDICAMENT	2020
160	NISKA	SILICONÉ	2020
161	ANGÈLE FEAT. ROMÉO ELVIS	TOUT OUBLIER	2020
162	JUSTIN BIEBER	YUMMY	2020
163	NEKFEU FEAT. NEMIR	ELLE PLEUT	2020
164	RAY DALTON	IN MY BONES	2020
165	47TER	ON AVAIT DIT	2020
166	PLK	PROBLÈMES	2020
167	CARDI B FEAT. MEGAN THEE STALLION	WAP	2020
168	M. POKORA	TOMBÉ	2020
169	HEUSS L'ENFOIRÉ	ARISTOCRATE	2020
170	LANDY	AUCUNE LIMITE	2020
171	ZOE WEES	CONTROL	2020
172	TAYC FEAT. BARACK ADAMA	MOI, JE PROUVE.	2020
173	AMEL BENT & IMEN ES	JUSQU'AU BOUT	2020
174	BILLIE EILISH & KHALID	LOVELY	2020
175	NISKA FEAT. NINHO	MÉCHANT	2020
176	FREEZE CORLEONE	FREEZE RAËL	2020
177	SOPRANO	À NOS HÉROS DU QUOTIDIEN	2020
178	MISTER V FEAT. DOSSEH	GANG	2020
179	THERAPIE TAXI FEAT. ROMÉO ELVIS	HIT SALE	2020
180	DAMSO	911	2020
181	KAZA	HRTBRK #2	2020
182	LARRY	ENFANT COMPLIQUÉ	2020
183	BENEE FEAT. GUS DAPPERTON	SUPALONELY	2020
184	AYA NAKAMURA FEAT. STORMZY	PLUS JAMAIS	2020
185	TRAVIS SCOTT FEAT. KENDRICK LAMAR	GOOSEBUMPS	2020
186	AYA NAKAMURA	DOUDOU	2020
187	NINHO FEAT. YARO	LE JEU	2020
188	LETO FEAT. NINHO	TES PARENTS	2020
189	YARO FEAT. NINHO & PLK	MEC DE CITÉ	2020
190	LOMEPAL FEAT. ROMÉO ELVIS	1000°C	2020
191	NINHO	C'ÉTAIT LE RAP	2020
192	LADY GAGA & ARIANA GRANDE	RAIN ON ME	2020
193	NINHO	GROS VENDEURS	2020
194	NEKFEU	ON VERRA	2020
195	YL	VAILLANTE	2020
196	JUL	POW POW	2020
197	ANGÈLE	TA REINE	2020
198	JOK'AIR	LAS VEGAS	2020
199	GAMBI	PUFF PUFF PUFF	2020
