	position	artist	title	year
19	19	ELSA	T'en vas pas	1987
20	20	SPAGNA	Call me	1987
21	21	BOY GEORGE	Everything I own	1987
22	22	PHILIPPE LAVIL & JOCELYNE BEROARD	Kolé séré	1987
23	23	VALLI	The more I see you	1987
24	24	THE STRANGLERS	Always the sun	1987
25	25	JOHNNY CLEGG & SAVUKA	Scatterlings of Africa	1987
26	26	SUZANNE VEGA	Luka	1987
27	27	KAZERO	Thaï na na	1987
28	28	STARSHIP	Nothing's gonna stop us now	1987
29	29	SAMANTHA FOX	Nothing's gonna stop me now	1987
30	30	MYLENE FARMER	Tristana	1987
31	31	PAUL SIMON	You can call me Al	1987
32	32	CAROLINE LOEB	C'est la ouate	1987
33	33	FRANCE GALL	Babacar	1987
34	34	MADONNA	Open your heart	1987
35	35	RITA MITSOUKO	C'est comme ça	1987
36	36	DAVID & JONATHAN	Bella vita	1987
37	37	GERARD BLANC	Une autre histoire	1987
38	38	CORYNNE CHARBY	Pile ou face	1987
39	39	PRINCE	Sign o' the times	1987
40	40	TERENCE TRENT D'ARBY	Wishing well	1987
41	41	PET SHOP BOYS	It's a sin	1987
42	42	JEAN-JACQUES GOLDMAN	Elle a fait un bébé toute seule	1987
43	43	BLUES TROTTOIR	Un soir de pluie	1987
44	44	SANDRA	Everlasting love	1987
45	45	WHITNEY HOUSTON	I wanna dance with somebody (who loves me)	1987
46	46	ETIENNE DAHO	Duel au soleil	1987
47	47	GRAZIELLA DE MICHELE	Le pull-over blanc	1987
48	48	JOHNNY HALLYDAY	Je te promets	1987
49	49	COCK ROBIN	Just around the corner	1987
50	50	JEANNE MAS	Sauvez-moi	1987
1	1	DEBUT DE SOIREE	Nuit de folie	1988
2	2	MYLENE FARMER	Pourvu qu'elles soient douces	1988
3	3	MORY KANTE	Yé ké yé ké	1988
4	4	A-HA	Stay on these roads	1988
5	5	MILLI VANILLI	Girl you know it's true	1988
6	6	GLENN MEDEIROS	Nothing's gonna change my love for you	1988
7	7	GLENN MEDEIROS & ELSA	Un roman d'amitié	1988
8	8	KYLIE MINOGUE	I should be so lucky	1988
9	9	PACO	Amor de mis amores	1988
10	10	MARRS	Pump up the volume	1988
11	11	TERENCE TRENT D'ARBY	Sign your name	1988
12	12	BLACK	Wonderful life	1988
13	13	YAZZ & THE PLASTIC POPULATION	The only way is up	1988
14	14	INXS	Need you tonight	1988
15	15	S-EXPRESS	Theme from S-express	1988
16	16	MIDNIGHT OIL	Beds are burning	1988
17	17	JOHNNY CLEGG & SAVUKA	Asimbonanga	1988
18	18	FLORENT PAGNY	N'importe quoi	1988
19	19	CLAUDE NOUGARO	Nougayork	1988
20	20	EIGHTH WONDER	I'm not scared	1988
21	21	GIANNA NANNINI	I maschi	1988
22	22	SABRINA	Boys (summertime love)	1988
23	23	DEPECHE MODE	Behind the wheel	1988
24	24	ELSA	Jour de neige	1988
25	25	SANDY	J'ai faim de toi	1988
26	26	U2	Desire	1988
27	27	GEORGE MICHAEL	One more try	1988
28	28	VANESSA PARADIS	Marilyn & John	1988
29	29	RICK ASTLEY	Whenever you need somebody	1988
30	30	DESIRELESS	John	1988
31	31	GUESCH PATTI	Let be must the queen	1988
32	32	PET SHOP BOYS	Always on my mind	1988
33	33	THE PASADENAS	Tribute (right on)	1988
34	34	L'AFFAIRE LOUIS TRIO	Chic planète	1988
35	35	GEORGE MICHAEL	Father figure	1988
36	36	TRACY CHAPMAN	Talkin' 'bout a revolution	1988
37	37	JEVETTA STEELE	Calling you	1988
38	38	RICK ASTLEY	Together forever	1988
39	39	NINA SIMONE	My baby just cares for me	1988
40	40	ETIENNE DAHO	Bleu comme toi	1988
41	41	KIM WILDE	You came	1988
42	42	THE COMMUNARDS	Never can say goodbye	1988
43	43	A-HA	Touchy!	1988
44	44	MICHAEL JACKSON	Dirty Diana	1988
45	45	WET WET WET	Angel eyes	1988
46	46	PHIL COLLINS	A groovy kind of love	1988
47	47	BROS	I owe you nothing	1988
48	48	BROS	When will I be famous?	1988
49	49	ART MENGO	Les parfums de sa vie (je l'ai tant aimée)	1988
50	50	A CAUS' DES GARCONS	A caus' des garçons	1988
1	1	MADONNA	Like a prayer	1989
2	2	KAOMA	Lambada	1989
3	3	SAM BROWN	Stop!	1989
4	4	ROCH VOISINE	Hélène	1989
5	5	PHILIPPE LAFONTAINE	Coeur de loup	1989
6	6	TECHNOTRONIC	Pump up the jam	1989
7	7	FINE YOUNG CANNIBALS	She drives me crazy	1989
8	8	WOMACK & WOMACK	Teardrops	1989
9	9	FRANCOIS FELDMAN & JONIECE JAMISON	Joue pas	1989
10	10	DEBUT DE SOIREE	La vie, la nuit	1989
11	11	BERNARD LAVILLIERS	On the road again	1989
12	12	AVALANCHE	Johnny, Johnny come home	1989
13	13	TEARS FOR FEARS	Sowing the seeds of love	1989
14	14	WHITNEY HOUSTON	One moment in time	1989
15	15	PRINCE	Batdance	1989
16	16	THE CURE	Lullaby	1989
17	17	ENYA	Orinoco flow	1989
18	18	BONEY M.	Megamix	1989
19	19	DAVID HALLYDAY	High	1989
